id,truck_category,distance_km,traffic_level,time_of_day,is_peak_hour,pickup_area,delivery_area,base_price_npr,accepted_price_npr,price_per_km
1,MEDIUM,10.1,Very Heavy,Morning,1,Gaushala,Thamel,700,1300.26,128.74
2,MEDIUM,3.8,Very Heavy,Morning,1,Chabahil,Baneshwor,700,1384.58,364.36
3,SMALL,3.1,Light,Night,0,Baneshwor,Thamel,400,400.0,129.03
4,LARGE,9.8,Medium,Afternoon,0,Budhanilkantha,Chabahil,1200,1380.67,140.88
5,MEDIUM,6.5,Light,Afternoon,0,Bhaktapur,Maharajgunj,700,700.0,107.69
6,SMALL,9.8,Light,Afternoon,0,Kirtipur,Lazimpat,400,400.0,40.82
7,SMALL,7.5,Light,Afternoon,0,New Road,Swayambhu,400,400.0,53.33
8,MEDIUM,6.6,Light,Afternoon,0,Maharajgunj,Baneshwor,700,700.0,106.06
9,MEDIUM,4.8,Heavy,Evening,1,Patan,New Road,700,1067.43,222.38
10,MEDIUM,10.4,Heavy,Morning,1,Lazimpat,Koteshwor,700,995.62,95.73
11,MEDIUM,10.9,Medium,Afternoon,0,Swayambhu,Gaushala,700,779.12,71.48
12,LARGE,10.6,Very Heavy,Evening,1,Patan,Dillibazar,1200,2064.35,194.75
13,SMALL,9.2,Heavy,Morning,1,New Road,Kalanki,400,613.1,66.64
14,SMALL,5.4,Medium,Afternoon,0,Lazimpat,Budhanilkantha,400,401.14,74.29
15,MEDIUM,10.6,Heavy,Morning,1,Patan,Lazimpat,700,1061.73,100.16
16,SMALL,2.8,Heavy,Evening,1,Koteshwor,Baneshwor,400,605.38,216.21
17,SMALL,1.9,Medium,Afternoon,0,Dillibazar,Thamel,400,481.23,253.28
18,LARGE,7.8,Medium,Afternoon,0,Koteshwor,Patan,1200,1285.4,164.79
19,SMALL,5.6,Very Heavy,Evening,1,Lazimpat,Baneshwor,400,757.22,135.22
20,SMALL,8.2,Very Heavy,Morning,1,Dillibazar,Kirtipur,400,729.73,88.99
21,MEDIUM,2.8,Heavy,Morning,1,Baneshwor,Koteshwor,700,1147.2,409.71
22,SMALL,1.5,Light,Afternoon,0,New Road,Thamel,400,404.61,269.74
23,MEDIUM,3.2,Light,Afternoon,0,New Road,Dillibazar,700,741.59,231.75
24,SMALL,9.0,Very Heavy,Evening,1,Gaushala,Budhanilkantha,400,707.5,78.61
25,SMALL,13.3,Medium,Afternoon,0,Gaushala,Kalanki,400,472.53,35.53
26,LARGE,9.1,Light,Afternoon,0,Gaushala,Kalanki,1200,1227.54,134.89
27,SMALL,9.2,Light,Night,0,Thamel,Koteshwor,400,400.0,43.48
28,SMALL,6.1,Medium,Afternoon,0,Koteshwor,Kirtipur,400,477.74,78.32
29,MEDIUM,8.6,Very Heavy,Morning,1,Dillibazar,Lazimpat,700,1316.43,153.07
30,SMALL,8.4,Light,Afternoon,0,Maharajgunj,Thamel,400,400.0,47.62
31,SMALL,7.6,Light,Afternoon,0,Kalanki,Dillibazar,400,416.88,54.85
32,SMALL,11.8,Light,Afternoon,0,Patan,Budhanilkantha,400,400.0,33.9
33,SMALL,5.1,Heavy,Evening,1,Dillibazar,Budhanilkantha,400,678.14,132.97
34,SMALL,3.5,Heavy,Evening,1,Baneshwor,New Road,400,625.42,178.69
35,SMALL,5.7,Very Heavy,Morning,1,Maharajgunj,Kalanki,400,732.85,128.57
36,MEDIUM,3.8,Heavy,Evening,1,Baneshwor,Chabahil,700,986.22,259.53
37,SMALL,1.5,Light,Afternoon,0,Maharajgunj,Lazimpat,400,400.0,266.67
38,SMALL,8.9,Light,Afternoon,0,Bhaktapur,Patan,400,400.0,44.94
39,MEDIUM,1.5,Heavy,Morning,1,Chabahil,Gaushala,700,1079.2,719.47
40,SMALL,11.6,Light,Afternoon,0,Swayambhu,Thamel,400,403.76,34.81
41,SMALL,7.1,Very Heavy,Morning,1,Kalanki,Maharajgunj,400,652.58,91.91
42,SMALL,11.4,Heavy,Evening,1,Bhaktapur,Baneshwor,400,580.68,50.94
43,SMALL,8.4,Very Heavy,Evening,1,Lazimpat,Koteshwor,400,659.08,78.46
44,SMALL,5.7,Light,Afternoon,0,Swayambhu,Budhanilkantha,400,422.23,74.08
45,MEDIUM,8.8,Very Heavy,Morning,1,Kalanki,Bhaktapur,700,1216.61,138.25
46,SMALL,5.7,Medium,Afternoon,0,Koteshwor,Maharajgunj,400,400.45,70.25
47,MEDIUM,8.9,Heavy,Evening,1,Dillibazar,Budhanilkantha,700,1182.81,132.9
48,SMALL,13.8,Heavy,Morning,1,Patan,Budhanilkantha,400,643.62,46.64
49,SMALL,9.1,Light,Afternoon,0,Maharajgunj,Koteshwor,400,418.41,45.98
50,SMALL,8.8,Very Heavy,Morning,1,Gaushala,Dillibazar,400,712.35,80.95
51,SMALL,1.5,Medium,Afternoon,0,Thamel,New Road,400,474.71,316.47
52,SMALL,5.5,Heavy,Evening,1,Dillibazar,Gaushala,400,596.2,108.4
53,SMALL,8.5,Very Heavy,Morning,1,Gaushala,Baneshwor,400,681.39,80.16
54,SMALL,6.5,Light,Afternoon,0,Bhaktapur,Dillibazar,400,400.0,61.54
55,LARGE,6.8,Heavy,Morning,1,Chabahil,Patan,1200,2041.31,300.19
56,SMALL,9.8,Very Heavy,Evening,1,Patan,Dillibazar,400,760.77,77.63
57,SMALL,7.8,Heavy,Evening,1,New Road,Budhanilkantha,400,635.22,81.44
58,SMALL,2.9,Heavy,Evening,1,Dillibazar,Thamel,400,638.42,220.14
59,SMALL,9.3,Heavy,Morning,1,Chabahil,Bhaktapur,400,587.1,63.13
60,MEDIUM,7.6,Heavy,Morning,1,Lazimpat,Bhaktapur,700,1114.38,146.63
61,MEDIUM,5.3,Very Heavy,Evening,1,Maharajgunj,Swayambhu,700,1315.1,248.13
62,SMALL,8.9,Light,Night,0,Swayambhu,Bhaktapur,400,400.0,44.94
63,SMALL,11.3,Medium,Afternoon,0,Kirtipur,Chabahil,400,434.09,38.42
64,MEDIUM,8.9,Very Heavy,Evening,1,Bhaktapur,Patan,700,1239.98,139.32
65,LARGE,4.8,Heavy,Evening,1,Patan,New Road,1200,1867.11,388.98
66,MEDIUM,6.9,Heavy,Evening,1,Koteshwor,Thamel,700,1002.99,145.36
67,MEDIUM,11.1,Heavy,Morning,1,Kirtipur,Gaushala,700,1198.3,107.95
68,SMALL,6.7,Light,Night,0,Bhaktapur,Kalanki,400,400.0,59.7
69,SMALL,8.2,Very Heavy,Morning,1,Maharajgunj,Kalanki,400,687.22,83.81
70,LARGE,11.5,Light,Afternoon,0,Swayambhu,Maharajgunj,1200,1200.0,104.35
71,SMALL,8.7,Light,Night,0,Gaushala,New Road,400,400.0,45.98
72,LARGE,5.1,Light,Afternoon,0,Kalanki,Baneshwor,1200,1200.0,235.29
73,LARGE,7.4,Very Heavy,Morning,1,New Road,Budhanilkantha,1200,2005.05,270.95
74,SMALL,7.1,Medium,Afternoon,0,Patan,Swayambhu,400,411.61,57.97
75,LARGE,6.3,Medium,Afternoon,0,Dillibazar,Lazimpat,1200,1313.0,208.41
76,MEDIUM,5.3,Light,Afternoon,0,Baneshwor,Gaushala,700,731.82,138.08
77,SMALL,9.5,Medium,Afternoon,0,Baneshwor,Kirtipur,400,408.17,42.97
78,SMALL,3.5,Light,Afternoon,0,Baneshwor,Thamel,400,425.43,121.55
79,MEDIUM,12.9,Heavy,Evening,1,Chabahil,Kalanki,700,1126.57,87.33
80,MEDIUM,4.8,Very Heavy,Evening,1,New Road,Patan,700,1215.69,253.27
81,SMALL,5.7,Light,Afternoon,0,Maharajgunj,Bhaktapur,400,423.19,74.24
82,MEDIUM,9.4,Light,Afternoon,0,Chabahil,Koteshwor,700,712.06,75.75
83,LARGE,5.8,Light,Afternoon,0,Bhaktapur,Koteshwor,1200,1200.0,206.9
84,SMALL,6.5,Very Heavy,Morning,1,Lazimpat,Kalanki,400,759.03,116.77
85,SMALL,9.2,Heavy,Evening,1,Gaushala,Dillibazar,400,565.47,61.46
86,SMALL,8.9,Heavy,Morning,1,Kalanki,Budhanilkantha,400,586.4,65.89
87,SMALL,6.7,Heavy,Morning,1,Dillibazar,Gaushala,400,581.56,86.8
88,SMALL,6.9,Very Heavy,Morning,1,Dillibazar,Koteshwor,400,692.52,100.37
89,MEDIUM,1.6,Heavy,Morning,1,Dillibazar,Baneshwor,700,1143.69,714.81
90,MEDIUM,11.0,Medium,Afternoon,0,Maharajgunj,Baneshwor,700,763.66,69.42
91,SMALL,9.8,Light,Afternoon,0,Dillibazar,Bhaktapur,400,400.0,40.82
92,MEDIUM,7.8,Very Heavy,Evening,1,Budhanilkantha,Swayambhu,700,1376.67,176.5
93,SMALL,5.4,Heavy,Evening,1,Maharajgunj,Bhaktapur,400,615.16,113.92
94,SMALL,7.3,Medium,Afternoon,0,Thamel,Kalanki,400,434.71,59.55
